model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,cv_score
Linear Regression,104.19197678597956,104.20441695052718,78.65970044592127,78.96796480725982,0.6186557936226156,0.6238784444394679,0.6173185531552636
Ridge Regression,104.19207349253237,104.20192042687819,78.65666190624083,78.96651077077863,0.6186550857274036,0.6238964664223668,0.6173215298279839
Lasso Regression,104.20426057500882,104.20321289471413,78.57689181015888,78.89176469417428,0.618565870615956,0.6238871363690853,0.6173152235911361
Random Forest,24.46797158870838,62.46825838999847,15.28990537515375,39.44924153876428,0.9789697453138919,0.8648317273938974,0.8434654587639422
Gradient Boosting,73.45596486420908,74.08258424355911,51.07311385730708,51.26379034528909,0.8104591898784932,0.8098973307860585,0.7989536716720498
